"Periodo","GDP.billion.currency.units","Consumo_Privado","exportaciones","importaciones","Total.Government.expenditure","PIB_billones","Consumo_billones","Exportaciones_billones","Importaciones_billones","Gasto_Gobierno_billones","Consumo_vs_PIB","Exportaciones_vs_PIB","GastoGov_vs_PIB","Inversion_Privada_billones","Identidad_Macro","Consumo_Pct","Inversion_Pct","Gasto_Gobierno_Pct","Exportaciones_Netas_Pct"
"2009 Q4",421.41,238076.9,1095701.3,1129028.6,2.42131e+11,421.41,238.0769,109.57013,112.90286,242131,0.564953133527918,0.260008376640326,574.573455779407,-241944.33417,3.09796632791404e-11,56.4953133527918,-57413.0500391543,57457.3455779407,-0.790852139246814
"2010 Q1",377.7,237405.6,1067693.2,1190535.2,1.87363e+11,377.7,237.4056,106.76932,119.05352,187363,0.628555996822875,0.282682870002648,496.063012973259,-187210.4214,-6.25277607468888e-12,62.8555996822875,-49565.9045274027,49606.3012973259,-3.25236960550702
"2010 Q2",403.57,241526.2,1237282.8,1297584.6,1.94439e+11,403.57,241.5262,123.72828,129.75846,194439,0.598474118492455,0.3065844339272,481.797457690116,-194270.92602,-8.5265128291212e-12,59.8474118492455,-48138.0989716778,48179.7457690116,-1.49420918304136
"2010 Q3",397.9,251248.7,1250053.2,1299540.2,1.88241e+11,397.9,251.2487,125.00532,129.95402,188241,0.631436793164112,0.314162653933149,473.086202563458,-188089.4,-2.33058017329313e-12,63.1436793164112,-47270.5202312139,47308.6202563458,-1.24370444835385
"2010 Q4",432.1,246089.1,1283009.7,1404672.2,2.35673e+11,432.1,246.0891,128.30097,140.46722,235673,0.569518861374682,0.29692425364499,545.413098819718,-235474.82285,1.39834810397588e-11,56.9518861374682,-54495.4461582967,54541.3098819718,-2.81560981254339
"2011 Q1",391.7,245510.3,1233697,1405267,1.88866e+11,391.7,245.5103,123.3697,140.5267,188866,0.626781465407199,0.314959663007404,482.170028082716,-188702.6533,4.00746102968697e-11,62.6781465407199,-48175.3008169518,48217.0028082716,-4.38013786060761
"2011 Q2",414.77,251669.2,1369161.4,1423491.3,1.94714e+11,414.77,251.6692,136.91614,142.34913,194714,0.606768088338115,0.330101357378788,469.450538852858,-194545.46621,9.32232069317251e-12,60.6768088338115,-46904.4208139451,46945.0538852858,-1.30988017455458
"2011 Q3",408.17,258753.8,1350050.4,1369827,1.84885e+11,408.17,258.7538,135.00504,136.9827,184885,0.633936350050224,0.330756890511307,452.960776147194,-184733.60614,-1.688249540166e-11,63.3936350050224,-45258.9867310189,45296.0776147194,-0.484518705441364
"2011 Q4",434.12,250499.2,1330029.9,1352098.1,2.44084e+11,434.12,250.4992,133.00299,135.20981,244084,0.577027549986179,0.306373790656961,562.250069105316,-243898.17238,1.25055521493778e-11,57.7027549986179,-56182.2013222151,56225.0069105317,-0.508343315212389
"2012 Q1",388.62,245435.1,1304919.1,1351942.3,1.93123e+11,388.62,245.4351,130.49191,135.19423,193123,0.6315555040914,0.335782795532911,496.945602387937,-192975.11278,2.250999386888e-11,63.15555040914,-49656.505784571,49694.5602387937,-1.21000463177397
"2012 Q2",406.63,249119.3,1411367.4,1332815.8,1.97779e+11,406.63,249.1193,141.13674,133.28158,197779,0.61264368098763,0.347088852273566,486.385657723237,-197629.34446,-2.73416844720487e-11,61.264368098763,-48601.7619113199,48638.5657723237,1.931770897376
"2012 Q3",401.39,254405.5,1390320.5,1299770,1.8959e+11,401.39,254.4055,139.03205,129.977,189590,0.633811255885797,0.346376466777947,472.333640598919,-189452.07055,1.05160324892495e-11,63.3811255885797,-47199.0011086474,47233.3640598919,2.25592316699469
"2012 Q4",427.72,247250.6,1377028.8,1286332.2,2.43809e+11,427.72,247.2506,137.70288,128.63322,243809,0.578066492097634,0.321946320022445,570.020106611802,-243637.60026,7.16227077646181e-12,57.8066492097634,-56961.9377770504,57002.0106611802,2.12046666043206
"2013 Q1",380.04,241847.1,1287882.3,1257116.4,1.92335e+11,380.04,241.8471,128.78823,125.71164,192335,0.636372750236817,0.338880723081781,506.091464056415,-192199.88369,3.35376171278767e-12,63.6372750236817,-50573.5932243974,50609.1464056415,0.809543732238714
"2013 Q2",402.84,244402.3,1410015.9,1258714.5,1.99703e+11,402.84,244.4023,141.00159,125.87145,199703,0.606698192830901,0.350018841227286,495.737761890577,-199559.69244,-2.67164068645798e-12,60.6698192830901,-49538.2018766756,49573.7761890577,3.75586833482276
"2013 Q3",402.04,251987.4,1399076,1252318.2,1.91745e+11,402.04,251.9874,139.9076,125.23182,191745,0.626771962988757,0.347994229429907,476.930156203363,-191609.62318,1.14255271910224e-11,62.6771962988757,-47659.3431449607,47693.0156203363,3.65032832553975
"2013 Q4",427.83,246330.1,1384984.1,1262314,2.4145e+11,427.83,246.3301,138.49841,126.2314,241450,0.575766309047986,0.323722997452259,564.359675572073,-241280.76711,2.32489583140705e-11,57.5766309047986,-56396.4114508099,56435.9675572073,2.86726269780053
"2014 Q1",386.52,243043.2,1311664.4,1245778.9,1.91164e+11,386.52,243.0432,131.16644,124.57789,191164,0.628798509779572,0.339352271551278,494.57725344096,-191027.11175,2.54090082307812e-11,62.8798509779572,-49422.3097769844,49457.725344096,1.7045819103798
"2014 Q2",405.71,246233.9,1430167.6,1284320.6,1.98831e+11,405.71,246.2339,143.01676,128.43206,198831,0.606920953390353,0.352509822286855,490.08158536886,-198686.1086,1.48361323226709e-11,60.6920953390353,-48972.4454906214,49008.158536886,3.59485839639151
"2014 Q3",404.53,252413.5,1430694.4,1267554.2,1.91957e+11,404.53,252.4135,143.06944,126.75542,191957,0.623967320099869,0.353668306429684,474.518577114182,-191821.19752,-8.12860889709555e-12,62.3967320099869,-47418.2872765926,47451.8577114182,4.03283316441302
"2014 Q4",430.64,248141.4,1446179.9,1273308,2.4768e+11,430.64,248.1414,144.61799,127.3308,247680,0.576215400334386,0.335821080252647,575.143971762957,-247514.78859,1.78488335222937e-11,57.6215400334386,-57476.0330182983,57514.3971762957,4.01430196916218
"2015 Q1",389.67,246633.8,1355373.2,1284774,1.91373e+11,389.67,246.6338,135.53732,128.4774,191373,0.63292991505633,0.347825903970026,491.115559319424,-191237.02372,-1.31308297568467e-11,63.292991505633,-49076.6606923807,49111.5559319424,1.81176893268663
"2015 Q2",412.55,252652.4,1516065.2,1355806.4,2.02426e+11,412.55,252.6524,151.60652,135.58064,202426,0.612416434371591,0.367486413768028,490.670221791298,-202282.12828,1.26760824059602e-11,61.2416434371591,-49032.1484135256,49067.0221791298,3.88459095867168
"2015 Q3",413.15,257864.2,1465126.2,1291461.5,1.92272e+11,413.15,257.8642,146.51262,129.14615,192272,0.624141837105168,0.354623308725644,465.380612368389,-192134.08067,-1.51771928358357e-11,62.4141837105168,-46504.6788502965,46538.0612368389,4.20342974706523
"2015 Q4",439.98,252353.5,1480404.8,1315581,2.49623e+11,439.98,252.3535,148.04048,131.5581,249623,0.573556752579663,0.336470930496841,567.350788672212,-249451.85588,-9.2086338554509e-12,57.3556752579663,-56696.180708214,56735.0788672212,3.74616573480613
"2016 Q1",401.55,251597.4,1364391.2,1269882.4,1.93258e+11,401.55,251.5974,136.43912,126.98824,193258,0.626565558460964,0.339781148051301,481.280039845598,-193117.49828,1.08002495835535e-12,62.6565558460964,-48093.0141402067,48128.0039845598,2.35359980077201
"2016 Q2",424.05,253439.3,1518122,1325389,1.99709e+11,424.05,253.4393,151.8122,132.5389,199709,0.597663718901073,0.358005423888692,470.95625515859,-199557.6626,-1.66551217262167e-11,59.7663718901073,-47059.9369413984,47095.625515859,4.5450536493338
"2016 Q3",421.54,260450.2,1487819.4,1285430.3,1.94113e+11,421.54,260.4502,148.78194,128.54303,194113,0.617854058926792,0.352948569530768,460.485363192105,-193972.14911,6.48014975013211e-12,61.7854058926792,-46015.122908858,46048.5363192105,4.80118375480381
